HITId	HITTypeId	Title	Description	Keywords	Reward	CreationTime	MaxAssignments	RequesterAnnotation	AssignmentDurationInSeconds	AutoApprovalDelayInSeconds	Expiration	NumberOfSimilarHITs	LifetimeInSeconds	AssignmentId	WorkerId	AssignmentStatus	AcceptTime	SubmitTime	AutoApprovalTime	ApprovalTime	RejectionTime	RequesterFeedback	WorkTimeInSeconds	LifetimeApprovalRate	Last30DaysApprovalRate	Last7DaysApprovalRate	Input.HITId	Input.AssignmentId	Input.WorkerId	Input.ImageUrl	Input.ActionTag	Answer.tag1	Answer.tag10	Answer.tag2	Answer.tag3	Answer.tag4	Answer.tag5	Answer.tag6	Answer.tag7	Answer.tag8	Answer.tag9	Approve	Reject
3ODOP6T3AS5EMA13JERSQHE9DVS24E	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:50 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:50 PDT 2016			31T4R4OBOT1QPY8I87J6TQ3P8T1C7T	A2VI55LKT5L4KB	Submitted	Wed Apr 27 07:02:13 PDT 2016	Wed Apr 27 07:04:23 PDT 2016	Thu Apr 28 07:04:23 PDT 2016				130	100% (411/412)	100% (47/47)	0% (0/0)	3VCK0Q0PO5ZTC88VMW2A62RU78I0NQ	3A4TN5196L3NINEULG5IK3SJLFBCHA	A2VI55LKT5L4KB	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aamrfepkhweyewue.jpg	cleaning teeth with toothbrush	go to washbasin	{}	put some paste on toothbrush	start brushing teeth with toothbrush	{}	{}	{}	{}	{}	{}		
3G57RS03HHQWIT53XJA2V9KNDRN25J	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:50 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:50 PDT 2016			3KJYX6QCMAWF82FK0X38M8WNKVBJV0	A161AJDHLJVCLZ	Submitted	Wed Apr 27 04:48:07 PDT 2016	Wed Apr 27 04:48:35 PDT 2016	Thu Apr 28 04:48:35 PDT 2016				28	0% (0/0)	0% (0/0)	0% (0/0)	3VCK0Q0PO5ZTC88VMW2A62RU78I0NQ	3G2UL9A02EZ19HZHYG637QBFBQ376A	A1KIMT9A4JOKL3	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aamrfepkhweyewue.jpg	take a relaxing bath	take a bath	relax in the tub	take a shower	wash the bath	wash the shower	clean the floor	clean the counter	turn on the faucet	wipe the mirror	put on make up		
3UOMW19E6DR9GBX5UCZ87MT9PIZC51	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:50 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:50 PDT 2016			3ZR9AIQJUCU9CJVJUTSFVDHE829403	A2VI55LKT5L4KB	Submitted	Wed Apr 27 04:33:11 PDT 2016	Wed Apr 27 04:34:16 PDT 2016	Thu Apr 28 04:34:16 PDT 2016				65	100% (411/412)	100% (47/47)	0% (0/0)	3VCK0Q0PO5ZTC88VMW2A62RU78I0NQ	3R5F3LQFV35AIXBRH7KGFAQ56JAOZ8	A28JGET2XTPRG5	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aamrfepkhweyewue.jpg	wash hands	stand in front of wash basin	{}	take out some cleaning liquid	wash hands with liquid	wipe to dry	{}	{}	{}	{}	{}		
341H3G5YF0ZNTXMEPKD41PY3HSA0Z3	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:50 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:50 PDT 2016			3VP0C6EFSHHKUK642M8SQ8857WF6M0	A3D6IPJ4RBCNVY	Submitted	Wed Apr 27 03:35:04 PDT 2016	Wed Apr 27 03:36:00 PDT 2016	Thu Apr 28 03:36:00 PDT 2016				56	100% (16/16)	100% (16/16)	0% (0/0)	3VCK0Q0PO5ZTC88VMW2A62RU78I0NQ	3R5F3LQFV35AIXBRH7KGFAQ56JAOZ8	A28JGET2XTPRG5	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aamrfepkhweyewue.jpg	take a shower	open the tap	{}	wash your hands	enter the bath tub	open the shower	wet yourself	use shower gel	wash your body	off the shower	dry yourself		
386659BNTL2QY116H94C9VER4DX10F	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:50 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:50 PDT 2016			3Y54SXRO1M699QMP7177SSHD4QMTUJ	A2VI55LKT5L4KB	Submitted	Wed Apr 27 00:27:33 PDT 2016	Wed Apr 27 00:31:06 PDT 2016	Thu Apr 28 00:31:06 PDT 2016				213	100% (411/412)	100% (47/47)	0% (0/0)	3VCK0Q0PO5ZTC88VMW2A62RU78I0NQ	3WMINLGALCO8806GFAVQ3H5F8KOCA2	A3D6IPJ4RBCNVY	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aamrfepkhweyewue.jpg	take a shower	step in bathroom	dry myself with towel	removing clothes	open shower curtain	putting some lotion	start water from shower	start taking shower	applying shower gel	cleaning myself	using shower sometime		
3WA2XVDZEM2KWDHXVMF8PG7C6PN6E4	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:50 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:50 PDT 2016			3EG49X351VXVOW58GTA11PO3E056XQ	A3OG5VGNMPI0NF	Submitted	Wed Apr 27 07:03:34 PDT 2016	Wed Apr 27 07:05:52 PDT 2016	Thu Apr 28 07:05:52 PDT 2016				138	0% (0/0)	0% (0/0)	0% (0/0)	3L7SUC0TTUFNUQNVAVNATN2U2I80MQ	34BBWHLWHBWWSGVJ8PN4W901D8AIWK	A3D6IPJ4RBCNVY	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aavhrsfjbserjtht.jpg	have a bath	enter the room	get in to the bath	turn on the light	close the curtains	take off clothing	put clothes in hamper	turn on the fan	turn on the water	adjust water temperature	fill the tub		
3X55NP42EO1PWLJ5LYXLCPUWA5N3PG	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:50 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:50 PDT 2016			3ERMJ6L4DZD3YKK9LWDKWM812707M1	A2VI55LKT5L4KB	Submitted	Wed Apr 27 05:05:01 PDT 2016	Wed Apr 27 05:06:17 PDT 2016	Thu Apr 28 05:06:17 PDT 2016				76	100% (411/412)	100% (47/47)	0% (0/0)	3L7SUC0TTUFNUQNVAVNATN2U2I80MQ	34BBWHLWHBWWSGVJ8PN4W901D8AIWK	A3D6IPJ4RBCNVY	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aavhrsfjbserjtht.jpg	take a spa	step in bathroom	{}	arrange items for spa	preparing for spa	taking spa	{}	{}	{}	{}	{}		
35JDMRECC4UMT6637ZOU17K103QEGE	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:50 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:50 PDT 2016			3KRVW3HTZO6PHI419ZBVRD4XPLBMS1	A1UPA5ONHGMWK9	Submitted	Wed Apr 27 04:21:26 PDT 2016	Wed Apr 27 04:31:10 PDT 2016	Thu Apr 28 04:31:10 PDT 2016				584	0% (0/0)	0% (0/0)	0% (0/0)	3L7SUC0TTUFNUQNVAVNATN2U2I80MQ	3H7XDTSHKDCIWPPOI1N1BXNLYVEWG2	A1KIMT9A4JOKL3	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aavhrsfjbserjtht.jpg	take a relaxing bath	IN A WELL LIGHTED BATHROOM	TIME TO GET OUT	LOOKING AT THE EMPTY LAUNDRY BASKET	THINKING TO MYSELF I HAVE ALL MY LAUNDRY DONE	BREATHING IN AND OUT THINK ABOUT MY BEAUTIFUL VANITY	LOVING THE DESIGHN ON THE TILE WALLS	WONDERING IF I HAVE A TOWL WHEN I GET OUT	TELLING MYSELF TO REMEMBER TO STEP ON MATTS WHEN I GET OUT	LAYING IN THIS TUB MAKES ME TIRED	DRAINING THE WATER		
3YGE63DIN8IJZ2H9EXTX2L4L0Q5W08	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:50 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:50 PDT 2016			3XLBSAQ9Z5X3XRJS0L3E4O4AHDCZ78	AK371CK97Q9XM	Submitted	Wed Apr 27 11:26:02 PDT 2016	Wed Apr 27 11:27:52 PDT 2016	Thu Apr 28 11:27:52 PDT 2016				110	0% (0/0)	0% (0/0)	0% (0/0)	3L7SUC0TTUFNUQNVAVNATN2U2I80MQ	3H7XDTSHKDCIWPPOI1N1BXNLYVEWG2	A1KIMT9A4JOKL3	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aavhrsfjbserjtht.jpg	take a hot shower	open shower door	wash	turn on water	adjust water for perfect temperature	remove clothing	locate a towel	turn on vent	hang towel in close proximity to shower	step into shower	rinse in water		
3RWB1RTQDJ8BXIPBXFSH3627QRF8PD	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:50 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:50 PDT 2016			3GGAI1SQEWJ9A1F5CDLVC80F3IWCM4	A1Y0ZF2QKFSOJJ	Submitted	Wed Apr 27 06:44:58 PDT 2016	Wed Apr 27 06:46:30 PDT 2016	Thu Apr 28 06:46:30 PDT 2016				92	0% (0/0)	0% (0/0)	0% (0/0)	3L7SUC0TTUFNUQNVAVNATN2U2I80MQ	3LKC68YZ3BO6O26M6K09G6WNPH9WOT	A26G21TXRX9OZE	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aavhrsfjbserjtht.jpg	take a bath	drain water out of tub	brush teeth	get a towel	dry off with towel	get clothes	put on clothes	put towel away	get toothbrush	get toothpaste	put toothpaste on toothbrush		
3E6L1VR4XW7C2RHTQXZE7YSCIQ26FM	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:50 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:50 PDT 2016			3E337GFOLATS9VGAQ0WEFEAU60MGN6	A2VI55LKT5L4KB	Submitted	Wed Apr 27 00:51:53 PDT 2016	Wed Apr 27 00:55:00 PDT 2016	Thu Apr 28 00:55:00 PDT 2016				187	100% (411/412)	100% (47/47)	0% (0/0)	3L7SUC0TTUFNUQNVAVNATN2U2I80MQ	3LKC68YZ3BO6O26M6K09G6WNPH9WOT	A26G21TXRX9OZE	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aavhrsfjbserjtht.jpg	take a shower	enter bathroom	wiping myself dry	arrange things for a shower	taking of clothes	step in shower	start shower	taking shower	using shower gel	using hair shampoo	finishing shower		
33J5JKFMK6JAWXKKLBCACUK6F193Q7	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:50 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:50 PDT 2016			33OOO72IVI6DNW5PLAM7YMV7XQOCT1	A9977WCHZ9ILF	Submitted	Wed Apr 27 05:30:02 PDT 2016	Wed Apr 27 05:32:05 PDT 2016	Thu Apr 28 05:32:05 PDT 2016				123	0% (0/0)	0% (0/0)	0% (0/0)	3L7SUC0TTUFNUQNVAVNATN2U2I80MQ	3QJOXOW4XKCO7ZZJ84RQ2W0INDNEME	A2VI55LKT5L4KB	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aavhrsfjbserjtht.jpg	closed the door	open the shower door	step out of the bathtub	step into shower	close shower door	turn on the water	take a shower	turn off the water	step out of the shower	step into the bathtub	take a bath		
3X55NP42EO1PWLJ5LYXLCPUWA5NP32	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:50 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:50 PDT 2016			308Q0PEVB9YLGKIBFEDCIPSQGQAI9I	A2VI55LKT5L4KB	Submitted	Wed Apr 27 11:58:42 PDT 2016	Wed Apr 27 12:00:04 PDT 2016	Thu Apr 28 12:00:04 PDT 2016				82	100% (411/412)	100% (47/47)	0% (0/0)	3L7SUC0TTUFNUQNVAVNATN2U2I80MQ	3QJOXOW4XKCO7ZZJ84RQ2W0INDNEME	A2VI55LKT5L4KB	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aavhrsfjbserjtht.jpg	having a quick shower	entering in the bathroom	{}	take off clothes	step in shower	start the shower	appling showe gel on body	having a quick shower	{}	{}	{}		
3MXX6RQ9EVQAEH29LC24MUM2O5JP4N	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:50 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:50 PDT 2016			3SITXWYCNWU1U8M3CKR9C5AVS16XBS	A2VI55LKT5L4KB	Submitted	Wed Apr 27 02:16:07 PDT 2016	Wed Apr 27 02:16:58 PDT 2016	Thu Apr 28 02:16:58 PDT 2016				51	100% (411/412)	100% (47/47)	0% (0/0)	3L7SUC0TTUFNUQNVAVNATN2U2I80MQ	3YWRV122CTKQB6U143WC1WLQPWTU8O	A1WD0DK58AKBVE	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aavhrsfjbserjtht.jpg	can wash my hands on wash basin	going to wash basin	{}	puting some hanswash on hands	start washing hands	wipe to dry after cleaning	{}	{}	{}	{}	{}		
